timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
2586,0.555,-0.022,0.979,-6.927,0.275,5.905,diam
2606,0.459,-0.115,0.961,-8.667,-8.133,2.701,diam
2626,0.296,0.004,0.944,-13.199,-1.083,-0.153,diam
2646,0.255,-0.07,0.883,-12.604,7.965,-5.219,diam
2666,0.392,0.017,0.988,-9.872,19.028,-0.381,diam
2764,0.406,0.0,0.997,-5.6,11.871,-16.144,diam
2765,0.406,0.0,0.997,-5.6,11.871,-16.144,diam
2766,0.293,0.0,1.056,-4.669,18.646,-12.848,diam
2766,0.293,0.0,1.056,-4.669,18.646,-12.848,diam
2767,0.293,0.0,1.056,-4.669,18.646,-12.848,diam
2786,0.608,-0.097,1.113,-4.501,18.494,-10.757,diam
2806,0.438,-0.133,1.005,-2.441,4.883,-24.734,diam
2826,0.536,-0.177,0.962,-3.586,10.239,-15.335,diam
2846,0.444,-0.014,1.005,-5.753,0.519,-16.22,diam
2866,0.45,0.098,0.88,-4.944,5.341,-1.862,diam
2886,0.29,-0.086,0.979,-5.31,-4.761,-16.571,diam
2906,0.364,0.011,0.909,-5.219,3.998,-6.042,diam
2926,0.321,0.005,0.906,-0.977,20.004,2.274,diam
2946,0.346,-0.036,1.019,-2.411,15.61,-6.912,diam
2966,0.522,-0.004,1.061,-3.021,5.554,-2.304,diam
2986,0.422,-0.101,0.998,-3.754,-11.49,-2.96,diam
3006,0.369,-0.022,0.97,-3.845,-14.236,-8.499,diam
3026,0.339,0.046,0.918,-3.006,-10.208,4.623,diam
3046,0.291,-0.037,0.961,-1.678,-7.69,3.098,diam
3066,0.335,-0.059,0.986,-1.968,-9.201,2.441,diam
3086,0.301,0.217,0.853,-2.93,-10.605,2.869,diam
3106,0.544,0.055,0.978,5.051,-3.357,28.625,diam
3126,0.251,-0.109,0.887,8.804,-8.118,18.875,diam
3146,0.296,-0.163,0.954,8.591,-6.638,-0.214,diam
3166,0.583,-0.216,1.101,3.357,8.179,9.171,diam
3186,0.436,0.093,0.988,-2.991,3.25,17.288,diam
3206,0.367,0.069,0.924,-0.61,-2.731,19.806,diam
3226,0.329,0.005,0.947,3.433,5.63,19.531,diam
3246,0.352,-0.036,0.932,4.913,12.695,27.115,diam
3266,0.242,-0.088,0.975,6.287,27.847,32.059,diam
3286,0.246,-0.1,0.971,4.089,18.021,31.693,diam
3306,0.338,-0.107,1.009,4.028,19.394,21.21,diam
3326,0.389,-0.132,1.082,5.615,36.118,14.832,diam
3346,0.358,-0.118,1.025,0.198,5.859,10.559,diam
3366,0.311,-0.109,0.964,0.549,4.517,2.701,diam
3386,0.307,-0.08,0.943,-0.031,-2.487,4.822,diam
3406,0.281,0.01,0.941,0.656,-4.242,8.362,diam
3426,0.275,0.005,0.942,3.967,-0.9,11.566,diam
3446,0.297,-0.022,0.953,6.592,2.06,13.504,diam
3466,0.32,-0.046,0.982,7.523,3.067,15.091,diam
3486,0.337,-0.051,1.009,7.065,1.892,15.945,diam
3506,0.32,-0.047,1.006,7.553,-0.229,15.945,diam
3526,0.324,-0.023,0.999,7.309,-1.251,17.563,diam
3546,0.309,-0.012,0.981,7.874,-2.243,19.073,diam
3566,0.282,-0.016,0.982,8.728,-2.121,21.072,diam
3586,0.274,-0.035,0.984,8.911,-0.61,23.178,diam
3606,0.294,-0.039,0.986,8.194,1.236,24.399,diam
3626,0.339,-0.028,0.978,8.087,1.48,25.269,diam
3646,0.347,0.019,0.958,9.369,-0.275,27.893,diam
3666,0.307,0.068,0.953,11.444,-0.702,29.755,diam
3686,0.277,0.081,0.95,14.145,2.243,33.875,diam
3706,0.305,0.048,0.948,16.022,5.997,34.866,diam
3726,0.352,0.018,0.969,16.037,7.019,36.896,diam
3746,0.364,0.003,0.982,15.32,4.684,39.139,diam
3766,0.349,0.016,0.983,14.832,1.877,38.818,diam
3786,0.342,0.045,0.973,14.999,0.671,37.46,diam
3861,0.405,0.03,0.966,15.9,5.112,37.201,diam
3862,0.407,0.024,0.968,15.701,4.684,36.697,diam
3863,0.407,0.024,0.968,15.701,4.684,36.697,diam
3866,0.406,0.02,0.971,15.61,4.364,36.24,diam
3886,0.387,0.02,0.991,15.167,2.808,33.432,diam
3906,0.363,0.043,0.98,14.938,1.007,29.221,diam
3926,0.362,0.049,0.969,14.587,0.458,23.972,diam
3946,0.333,0.038,0.962,13.306,0.275,20.432,diam
3966,0.349,0.017,0.96,11.444,1.19,16.922,diam
3986,0.352,0.016,0.978,9.781,0.809,14.16,diam
4006,0.369,0.051,0.986,8.209,-1.465,10.925,diam
4026,0.385,0.05,0.977,5.814,-3.769,6.927,diam
4046,0.387,0.031,0.953,2.823,-5.997,3.754,diam
4066,0.371,0.022,0.946,0.29,-5.981,2.029,diam
4086,0.374,0.046,0.945,-2.151,-5.722,0.763,diam
4106,0.375,0.06,0.946,-4.105,-6.668,0.214,diam
4126,0.358,0.084,0.954,-5.066,-6.836,1.862,diam
4146,0.369,0.124,0.943,-5.096,-4.974,4.745,diam
4166,0.37,0.157,0.956,-4.486,-3.006,8.011,diam
4186,0.282,0.117,1.071,-4.059,-2.289,9.094,diam
4206,0.212,0.078,1.097,-4.73,-12.329,2.502,diam
4226,0.525,0.007,0.857,-5.051,0.183,6.943,diam
4246,0.45,-0.001,0.949,-7.126,-24.902,1.724,diam
4266,0.352,0.046,0.805,-9.14,-20.599,5.051,diam
4286,0.279,0.042,0.818,-9.277,-7.339,2.319,diam
4306,0.341,0.033,0.876,-10.376,5.493,2.808,diam
4326,0.324,0.046,0.929,-13.763,5.341,4.654,diam
4346,0.348,0.081,0.93,-16.8,6.653,4.15,diam
4366,0.389,0.066,0.991,-18.097,16.464,1.297,diam
4386,0.396,0.059,0.958,-19.562,7.507,-1.007,diam
4406,0.402,0.073,0.957,-18.555,4.532,-2.487,diam
4426,0.384,0.106,0.952,-17.593,2.838,-1.16,diam
4446,0.385,0.129,0.957,-16.678,4.456,-0.092,diam
4466,0.393,0.108,0.98,-14.618,7.507,-1.144,diam
4486,0.39,0.043,0.991,-13.779,6.912,-2.609,diam
4506,0.379,0.016,1.017,-14.511,2.625,-4.669,diam
4526,0.371,0.017,1.036,-14.404,-2.106,-6.454,diam
4546,0.364,0.027,1.046,-13.687,-5.844,-7.69,diam
4566,0.352,0.033,0.998,-13.153,-9.033,-9.064,diam
4586,0.32,0.02,0.965,-12.787,-9.415,-9.613,diam
4606,0.3,-0.004,0.935,-13.245,-8.118,-9.781,diam
4626,0.291,-0.006,0.937,-14.542,-6.195,-9.872,diam
4646,0.3,-0.012,0.955,-15.732,-3.86,-7.904,diam
4666,0.335,-0.021,0.957,-16.953,-3.662,-6.454,diam
4686,0.337,-0.021,0.962,-17.7,-4.41,-4.562,diam
4706,0.331,-0.028,0.978,-17.288,-4.486,-4.547,diam
4726,0.349,-0.05,0.991,-16.525,-4.395,-4.944,diam
4746,0.349,-0.062,0.979,-16.144,-6.134,-5.112,diam
4766,0.333,-0.036,0.964,-15.457,-6.638,-4.623,diam
4786,0.316,0.003,0.946,-13.184,-4.73,-4.135,diam
4806,0.319,0.001,0.958,-9.567,-1.602,-3.067,diam
4826,0.326,-0.036,0.964,-6.485,0.87,-1.663,diam
4846,0.348,-0.057,0.957,-4.868,3.036,-1.129,diam
4866,0.374,-0.087,0.946,-4.578,3.525,-2.35,diam
4886,0.373,-0.113,0.942,-5.203,3.632,-3.494,diam
4906,0.386,-0.105,0.95,-6.256,6.226,-2.563,diam
4926,0.421,-0.093,0.975,-6.851,7.66,-1.77,diam
4946,0.444,-0.096,0.995,-8.102,4.807,-0.504,diam
4966,0.421,-0.094,0.975,-9.293,1.572,2.487,diam
4986,0.396,-0.083,0.969,-9.933,1.785,5.753,diam
5006,0.401,-0.09,0.945,-9.72,2.777,7.675,diam
5026,0.409,-0.099,0.927,-9.399,3.113,8.469,diam
5046,0.406,-0.101,0.927,-8.926,3.098,8.804,diam
5066,0.407,-0.11,0.93,-8.545,2.579,8.148,diam
5086,0.395,-0.131,0.933,-7.584,1.465,6.943,diam
5106,0.38,-0.136,0.931,-6.866,1.083,5.493,diam
5126,0.391,-0.128,0.926,-5.63,2.289,4.379,diam
5146,0.41,-0.117,0.937,-4.684,2.457,3.159,diam
5166,0.413,-0.103,0.954,-3.769,0.671,3.418,diam
5186,0.413,-0.091,0.969,-3.052,-1.221,4.211,diam
5206,0.423,-0.097,0.959,-2.716,-3.464,4.074,diam
5226,0.404,-0.116,0.94,-2.151,-5.127,4.395,diam
5246,0.369,-0.127,0.936,-2.09,-4.395,4.456,diam
5266,0.365,-0.122,0.936,-1.663,-2.808,3.906,diam
5286,0.382,-0.116,0.946,-0.687,-1.968,3.479,diam
5306,0.381,-0.133,0.957,-0.595,-2.64,2.548,diam
5326,0.38,-0.135,0.965,-0.839,-3.464,1.16,diam
5346,0.39,-0.133,0.959,-1.205,-4.547,-0.244,diam
5366,0.392,-0.128,0.954,-1.541,-6.149,-1.877,diam
5386,0.378,-0.124,0.946,-1.633,-7.431,-3.143,diam
5406,0.358,-0.12,0.946,-1.328,-6.836,-4.059,diam
5426,0.352,-0.121,0.942,-0.961,-5.31,-5.112,diam
5446,0.362,-0.136,0.939,-0.961,-3.433,-6.561,diam
5466,0.365,-0.137,0.938,-1.083,-1.541,-8.072,diam
5486,0.365,-0.133,0.95,-1.465,-0.519,-10.162,diam
5506,0.364,-0.129,0.952,-1.74,0.015,-11.765,diam
5526,0.371,-0.121,0.947,-1.678,0.336,-12.482,diam
5546,0.372,-0.115,0.959,-1.678,0.58,-13.138,diam
5566,0.376,-0.119,0.96,-1.923,1.144,-13.779,diam
5586,0.394,-0.117,0.968,-2.899,1.602,-13.55,diam
5606,0.4,-0.094,0.97,-3.738,0.015,-13.306,diam
5626,0.39,-0.07,0.962,-3.922,-1.312,-12.329,diam
5646,0.382,-0.058,0.946,-3.25,-1.633,-11.429,diam
5666,0.384,-0.065,0.943,-2.213,-1.617,-10.666,diam
5749,0.386,-0.066,0.961,-1.74,-0.504,-7.858,diam
5749,0.386,-0.066,0.961,-1.74,-0.504,-7.858,diam
5750,0.386,-0.066,0.961,-1.74,-0.504,-7.858,diam
5751,0.385,-0.065,0.962,-1.694,-0.656,-7.675,diam
5766,0.384,-0.069,0.953,-1.74,-0.824,-7.37,diam
5786,0.392,-0.066,0.944,-1.846,-0.763,-6.958,diam
5806,0.404,-0.057,0.948,-1.724,-0.824,-6.5,diam
5826,0.39,-0.052,0.951,-1.617,-1.434,-6.5,diam
5846,0.374,-0.042,0.944,-1.205,-1.511,-6.958,diam
5866,0.377,-0.037,0.939,-0.275,-0.9,-7.843,diam
5886,0.378,-0.04,0.947,0.092,-0.168,-8.194,diam
5906,0.383,-0.045,0.951,-0.031,0.458,-8.072,diam
5926,0.393,-0.038,0.97,-0.717,1.343,-6.912,diam
5946,0.397,-0.023,0.98,-1.419,1.297,-5.692,diam
5966,0.391,-0.017,0.961,-1.801,0.748,-4.456,diam
5986,0.379,-0.016,0.942,-1.724,0.916,-3.22,diam
6006,0.375,-0.015,0.936,-1.328,2.365,-2.365,diam
6026,0.389,-0.018,0.94,-1.038,3.799,-1.831,diam
6046,0.396,-0.022,0.943,-0.946,3.571,-1.526,diam
6066,0.395,-0.023,0.951,-0.504,3.281,-1.343,diam
6086,0.4,-0.014,0.958,-0.153,2.64,-0.671,diam
6106,0.408,-0.012,0.962,-0.244,1.862,-0.183,diam
6126,0.407,-0.009,0.962,-0.595,0.977,0.214,diam
6146,0.396,-0.013,0.953,-0.656,-0.153,0.381,diam
6166,0.389,-0.009,0.948,-0.763,-0.153,0.336,diam
6186,0.393,-0.017,0.941,-0.778,0.351,-0.092,diam
6206,0.397,-0.022,0.946,-0.824,0.641,-0.122,diam
6226,0.402,-0.021,0.946,-1.053,0.732,-0.305,diam
6246,0.404,-0.018,0.953,-1.556,0.259,-0.061,diam
6266,0.396,-0.014,0.957,-1.862,-0.168,-0.214,diam
6286,0.388,-0.009,0.951,-1.938,-0.168,-0.122,diam
6306,0.393,-0.008,0.945,-1.999,0.244,0.015,diam
6326,0.389,-0.01,0.944,-2.151,0.58,-0.107,diam
6346,0.393,-0.016,0.949,-2.228,1.083,-0.076,diam
6366,0.403,-0.019,0.952,-2.411,1.068,-0.29,diam
6386,0.406,-0.013,0.946,-2.731,0.687,-0.504,diam
6406,0.403,-0.003,0.943,-2.853,0.748,-0.336,diam
6426,0.396,-0.005,0.942,-2.762,0.977,-0.229,diam
6446,0.398,-0.009,0.948,-2.411,1.221,-0.519,diam
6466,0.401,-0.012,0.943,-2.182,1.526,-0.397,diam
6486,0.402,-0.008,0.948,-2.136,1.663,-0.061,diam
6506,0.406,-0.007,0.951,-2.243,1.404,0.198,diam
6526,0.402,-0.007,0.947,-2.213,0.946,0.565,diam
6546,0.392,-0.004,0.945,-2.258,1.175,0.977,diam
6566,0.39,-0.004,0.942,-2.075,1.923,1.16,diam
6586,0.396,-0.015,0.945,-2.014,2.472,1.617,diam
6606,0.391,-0.017,0.953,-2.029,2.213,1.892,diam
6626,0.4,-0.008,0.954,-1.785,1.816,2.197,diam
6646,0.406,0.002,0.956,-1.434,0.793,3.006,diam
6666,0.397,-0.006,0.951,-1.083,-0.305,3.662,diam
6686,0.385,-0.018,0.953,-0.946,-0.107,3.784,diam
6706,0.387,-0.025,0.952,-1.114,0.351,3.448,diam
6726,0.387,-0.026,0.954,-1.434,0.534,2.853,diam
6746,0.392,-0.025,0.955,-1.892,0.504,2.258,diam
6766,0.39,-0.021,0.957,-2.075,0.031,2.06,diam
6786,0.391,-0.014,0.957,-2.029,-0.61,1.953,diam
6860,0.383,-0.007,0.951,-1.724,0.931,3.464,diam
6861,0.383,-0.007,0.951,-1.724,0.931,3.464,diam
6861,0.383,-0.007,0.951,-1.724,0.931,3.464,diam
6866,0.384,-0.007,0.953,-1.74,0.916,3.54,diam
6886,0.382,-0.006,0.953,-1.419,1.358,3.754,diam
6906,0.383,-0.014,0.954,-1.007,1.587,4.028,diam
6926,0.384,-0.02,0.952,-0.748,1.221,4.028,diam
6946,0.387,-0.026,0.959,-0.992,0.839,3.998,diam
6966,0.386,-0.025,0.966,-1.205,0.214,4.013,diam
6986,0.384,-0.021,0.963,-1.663,-0.443,3.601,diam
7006,0.382,-0.005,0.958,-1.633,-0.565,3.632,diam
7026,0.372,0.007,0.95,-1.19,-0.198,3.601,diam
7046,0.367,-0.003,0.948,-0.717,0.977,3.555,diam
7066,0.374,-0.019,0.945,-0.427,1.755,3.189,diam
7086,0.375,-0.017,0.956,-0.702,1.862,3.143,diam
7106,0.378,-0.008,0.965,-1.297,1.755,3.174,diam
7126,0.382,-0.002,0.955,-1.434,1.343,2.853,diam
7146,0.376,0.001,0.951,-1.236,1.724,2.853,diam
7166,0.372,0.001,0.953,-1.022,2.701,3.113,diam
7186,0.379,-0.003,0.956,-0.87,2.991,3.387,diam
7206,0.383,-0.013,0.962,-0.824,2.563,3.494,diam
7226,0.389,-0.011,0.962,-1.205,1.907,3.311,diam
7246,0.389,-0.003,0.956,-1.419,0.916,3.281,diam
7266,0.378,-0.001,0.956,-1.312,0.748,3.464,diam
7286,0.382,0.0,0.954,-1.083,1.19,3.815,diam
7306,0.386,-0.006,0.961,-0.992,1.389,3.922,diam
7326,0.383,-0.01,0.958,-0.977,1.038,3.677,diam
7346,0.381,-0.015,0.959,-1.282,0.473,3.418,diam
7366,0.381,-0.012,0.955,-1.709,0.275,2.899,diam
7386,0.377,-0.008,0.951,-2.075,0.351,2.548,diam
7406,0.378,-0.005,0.95,-2.213,1.114,1.938,diam
7426,0.376,-0.006,0.956,-2.151,1.709,1.77,diam
7446,0.383,-0.004,0.959,-2.228,1.678,1.724,diam
7466,0.38,-0.004,0.953,-2.457,1.312,1.633,diam
7486,0.377,-0.002,0.958,-2.563,1.038,1.633,diam
7506,0.375,-0.002,0.949,-2.625,1.114,1.175,diam
7526,0.377,-0.003,0.953,-2.594,1.617,1.068,diam
7546,0.384,0.002,0.958,-2.502,1.755,0.778,diam
7566,0.387,0.002,0.953,-2.411,1.221,0.687,diam
7586,0.389,-0.001,0.959,-2.716,0.443,0.565,diam
7606,0.386,-0.001,0.96,-3.052,-0.61,0.702,diam
7626,0.38,0.0,0.954,-3.159,-1.175,0.732,diam
7646,0.378,0.004,0.948,-3.006,-1.068,0.412,diam
7666,0.378,0.001,0.954,-2.823,-0.793,0.702,diam
7686,0.377,0.004,0.949,-2.625,-0.565,0.9,diam
7706,0.383,0.004,0.956,-2.441,-0.488,0.717,diam
7726,0.378,-0.003,0.956,-2.335,-0.473,0.473,diam
7746,0.378,-0.006,0.957,-2.686,-0.565,0.397,diam
7766,0.374,-0.001,0.957,-2.975,-0.656,-0.122,diam
7786,0.371,-0.005,0.949,-3.296,-0.702,-0.32,diam
7806,0.369,-0.008,0.954,-3.677,-0.397,-0.351,diam
7826,0.375,0.001,0.953,-3.677,0.473,-0.275,diam
7846,0.381,0.007,0.957,-3.204,0.519,-0.092,diam
7866,0.377,-0.006,0.957,-2.869,0.046,-0.137,diam
7886,0.371,-0.019,0.96,-3.052,-0.122,-0.397,diam
7906,0.373,-0.022,0.955,-3.326,0.153,-0.793,diam
7926,0.372,-0.023,0.955,-3.799,0.565,-1.221,diam
7946,0.371,-0.019,0.951,-4.074,1.022,-1.511,diam
7966,0.375,-0.014,0.951,-3.983,1.175,-1.816,diam
7986,0.372,-0.016,0.954,-3.922,1.48,-2.09,diam
8006,0.382,-0.031,0.961,-3.998,1.938,-1.862,diam
8026,0.389,-0.046,0.978,-4.807,1.312,-2.182,diam
8046,0.393,-0.046,0.972,-5.768,-0.214,-2.762,diam
8066,0.397,-0.047,0.957,-6.454,-1.663,-3.418,diam
8086,0.384,-0.044,0.948,-6.821,-2.502,-3.784,diam
8106,0.382,-0.036,0.951,-6.668,-2.274,-4.044,diam
8126,0.389,-0.041,0.949,-6.378,-1.389,-4.105,diam
8146,0.402,-0.05,0.961,-6.729,-0.763,-3.632,diam
8166,0.405,-0.059,0.973,-7.812,-1.175,-3.342,diam
8186,0.411,-0.057,0.965,-8.865,-2.151,-3.433,diam
8206,0.402,-0.042,0.946,-8.957,-3.433,-2.838,diam
8226,0.389,-0.035,0.933,-8.24,-3.662,-2.274,diam
8246,0.381,-0.031,0.933,-7.309,-2.609,-1.953,diam
8266,0.394,-0.04,0.938,-6.104,-1.572,-1.877,diam
8286,0.399,-0.049,0.944,-5.478,-1.328,-1.816,diam
8306,0.397,-0.055,0.95,-5.356,-1.297,-1.831,diam
8326,0.401,-0.049,0.95,-5.142,-1.221,-1.419,diam
8346,0.397,-0.045,0.958,-4.929,-1.358,-0.977,diam
8366,0.4,-0.048,0.958,-4.974,-1.617,-0.687,diam
8386,0.392,-0.052,0.954,-5.203,-2.243,-0.32,diam
8406,0.387,-0.051,0.949,-5.325,-2.655,-0.244,diam
8426,0.39,-0.05,0.946,-5.356,-1.938,-0.366,diam
8446,0.396,-0.055,0.952,-5.31,-1.419,-0.137,diam
8466,0.4,-0.05,0.952,-5.051,-1.511,0.046,diam
8486,0.394,-0.048,0.955,-4.715,-1.984,-0.046,diam
8506,0.39,-0.049,0.947,-4.547,-2.121,-0.443,diam
8526,0.385,-0.054,0.934,-4.501,-0.854,-0.977,diam
8546,0.389,-0.058,0.939,-4.349,0.473,-1.511,diam
8566,0.398,-0.056,0.95,-4.333,1.083,-1.877,diam
8586,0.401,-0.052,0.953,-4.547,1.16,-2.136,diam
8606,0.404,-0.053,0.96,-4.776,0.458,-2.502,diam
8626,0.401,-0.05,0.957,-4.761,-0.366,-2.762,diam
8646,0.398,-0.05,0.944,-4.684,-0.732,-2.975,diam
8666,0.4,-0.053,0.946,-4.471,-0.717,-2.991,diam
8746,0.409,-0.049,0.947,-4.349,-0.092,-3.372,diam
8747,0.406,-0.047,0.948,-4.349,-0.183,-3.387,diam
8748,0.406,-0.047,0.948,-4.349,-0.183,-3.387,diam
8748,0.406,-0.047,0.948,-4.349,-0.183,-3.387,diam
8766,0.408,-0.049,0.944,-4.044,-0.534,-3.403,diam
8786,0.403,-0.048,0.944,-3.799,-0.824,-3.738,diam
8806,0.399,-0.05,0.947,-3.448,-1.053,-4.166,diam
8826,0.402,-0.054,0.945,-3.357,-0.87,-4.578,diam
8846,0.403,-0.051,0.942,-3.143,-0.732,-4.822,diam
8866,0.402,-0.043,0.948,-2.975,-0.61,-4.974,diam
8886,0.405,-0.041,0.947,-2.838,-0.381,-5.02,diam
8906,0.406,-0.041,0.946,-2.594,-0.366,-4.898,diam
8926,0.401,-0.035,0.941,-2.274,-0.504,-4.532,diam
8946,0.401,-0.032,0.947,-1.968,-0.092,-3.922,diam
8966,0.396,-0.037,0.949,-1.77,0.534,-3.708,diam
8986,0.399,-0.052,0.947,-1.816,0.58,-3.952,diam
9006,0.393,-0.059,0.948,-2.09,0.275,-4.41,diam
9026,0.393,-0.054,0.947,-2.258,0.626,-5.203,diam
9046,0.397,-0.05,0.952,-2.411,0.58,-5.722,diam
9066,0.389,-0.049,0.952,-2.365,0.458,-6.241,diam
9086,0.389,-0.052,0.952,-2.151,1.114,-6.851,diam
9106,0.387,-0.049,0.944,-2.045,1.617,-7.523,diam
9126,0.384,-0.045,0.95,-2.136,2.045,-7.66,diam
9146,0.392,-0.04,0.951,-2.075,2.548,-7.721,diam
9166,0.398,-0.04,0.956,-1.938,2.594,-7.385,diam
9186,0.393,-0.039,0.958,-2.106,2.64,-7.37,diam
9206,0.387,-0.046,0.959,-2.441,2.777,-7.431,diam
9226,0.379,-0.048,0.961,-3.021,3.189,-7.08,diam
9246,0.391,-0.043,0.968,-3.967,3.845,-5.936,diam
9266,0.4,-0.03,0.974,-5.188,3.311,-4.593,diam
9286,0.397,-0.024,0.964,-5.875,2.426,-3.51,diam
9306,0.386,-0.029,0.95,-5.981,2.106,-3.128,diam
9326,0.378,-0.035,0.944,-5.707,2.808,-2.884,diam
